name,title,completion_percentage
Emily Watson,Intro to Python,85
Emily Watson,Web Design Basics,60
Klaus Weber,Intro to Python,92
Klaus Weber,Data Analysis with SQL,78
Lucia Fernandes,Web Design Basics,5
Lucia Fernandes,Digital Marketing 101,3
Marco Rossi,Advanced Python,95
Marco Rossi,Intro to Python,88
Yuki Nakamura,Data Analysis with SQL,45
Yuki Nakamura,UI/UX Fundamentals,0
Pierre Dubois,UI/UX Fundamentals,0
Priya Sharma,Digital Marketing 101,70
Priya Sharma,Intro to Python,55
Pierre Dubois,Data Analysis with SQL,20
Emily Watson,Advanced Python,40
Lucia Fernandes,Advanced Python,0
